date,ticker,market_cap_usd,volume_usd
2020-11-01,ZRX,338028542.651041,5361241.68587771
2020-11-02,ZRX,329868457.517306,8287159.8498755
2020-11-03,ZRX,326194769.8442653,6315349.54228452
2020-11-04,ZRX,317329323.8307237,7342219.9772583
2020-11-05,ZRX,347679266.5937892,11116429.4840101
2020-11-06,ZRX,376535925.4483562,16269520.758
2020-11-07,ZRX,350533795.8254934,19457709.543564
2020-11-08,ZRX,366725090.73842096,8271289.22691361
2020-11-09,ZRX,353536725.0474501,8867882.52361988
2020-11-10,ZRX,387686379.9789428,17889829.9871834
2020-11-11,ZRX,367241846.13320607,15131334.5743066
2020-11-12,ZRX,360762914.9536736,8172480.91650624
2020-11-13,ZRX,386360249.2111657,9415024.94068218
2020-11-14,ZRX,374082169.5230929,12615783.2881105
2020-11-15,ZRX,359688368.42442405,9282305.84684405
2020-11-16,ZRX,372546026.7955432,10434015.7134066
2020-11-17,ZRX,381172293.1175455,13680838.5760908
2020-11-18,ZRX,365107522.396316,13594943.1186965
2020-11-19,ZRX,364585874.3188827,9858417.30513587
2020-11-20,ZRX,373871021.2004956,10951206.9262817
2020-11-21,ZRX,414191031.0625008,31727542.9326688
2020-11-22,ZRX,398738782.1728416,23033091.0317676
2020-11-23,ZRX,434982628.0055901,23715045.2507639
2020-11-24,ZRX,463326281.8468782,50120358.548848
2020-11-25,ZRX,443393583.3326051,64763241.8442913
2020-11-26,ZRX,405685549.537039,43953971.211562
2020-11-27,ZRX,400936798.18651915,16883733.3027674
2020-11-28,ZRX,417607759.1115461,16143710.5426633
2020-11-29,ZRX,415603062.75839907,10033338.8819638
2020-11-30,ZRX,426027863.2779568,16516699.9776953
2020-12-01,ZRX,400035528.61141247,21574350.7857585
2020-12-02,ZRX,426779351.07153225,12788023.752861
2020-12-03,ZRX,430780814.650111,10741028.1853807
2020-12-04,ZRX,395524092.08379894,17752839.0673358
2020-12-05,ZRX,407037408.7350754,7153166.07130336
2020-12-06,ZRX,399886384.5493793,7977924.82240224
2020-12-07,ZRX,404246353.2357578,6380500.32535286
2020-12-08,ZRX,379126832.13102007,9253334.5977022
2020-12-09,ZRX,382780704.1483676,9739075.84063814
2020-12-10,ZRX,370484153.36523,6116019.04706947
2020-12-11,ZRX,357468451.17635,8300983.07198742
2020-12-12,ZRX,392594000.627887,16474710.5487704
2020-12-13,ZRX,395168513.155149,9042457.59756188
2020-12-14,ZRX,387190719.785478,6553848.35202176
2020-12-15,ZRX,392297226.99905,7073335.0084897
2020-12-16,ZRX,414188214.266674,12198029.1232871
2020-12-17,ZRX,405612180.48495,20653205.305759
2020-12-18,ZRX,411706250.725382,17049193.7824247
2020-12-19,ZRX,423016066.823602,17461327.2169948
2020-12-20,ZRX,396539963.236161,14249734.2858432
2020-12-21,ZRX,381727413.406937,24810771.0060974
2020-12-22,ZRX,374622813.593495,11136535.0230371
2020-12-23,ZRX,334931596.198824,18834942.947816
2020-12-24,ZRX,364493720.073359,12633219.1207662
2020-12-25,ZRX,358343535.440588,10733321.5134328
2020-12-26,ZRX,353847631.026141,10563929.6747086
2020-12-27,ZRX,375579366.338543,68063686.2831802
2020-12-28,ZRX,374701271.420017,22681739.5208745
2020-12-29,ZRX,365342468.999517,18007457.6928701
2020-12-30,ZRX,358950847.008254,13230917.6276134
2020-12-31,ZRX,353630897.568421,14210240.4573009
2021-01-01,ZRX,372106899.558846,16530774.815184
2021-01-02,ZRX,360538304.168742,28783159.2144053
2021-01-03,ZRX,393098548.400064,38050531.5289639
2021-01-04,ZRX,391962547.693749,40277501.9211923
2021-01-05,ZRX,448858146.69002,57765464.6949627
2021-01-06,ZRX,467031393.026872,79542560.710739
2021-01-07,ZRX,437953550.610436,69525125.7727442
2021-01-08,ZRX,437386573.090567,41127103.4328705
2021-01-09,ZRX,553011104.533884,169145912.467009
2021-01-10,ZRX,526271166.925729,112133550.509277
2021-01-11,ZRX,432245132.011764,66904234.0854626
2021-01-12,ZRX,425292673.044185,36373843.0416914
2021-01-13,ZRX,506037507.167205,100179931.393565
2021-01-14,ZRX,497289472.432062,47841737.7232109
2021-01-15,ZRX,513358290.832427,68016858.7980523
2021-01-16,ZRX,523932788.60191,59363200.0037502
2021-01-17,ZRX,604313237.934061,94871365.6952309
2021-01-18,ZRX,584469378.292749,54617121.2855373
2021-01-19,ZRX,549103866.628476,48612046.6495029
2021-01-20,ZRX,555714779.826615,47010142.589868
2021-01-21,ZRX,470922289.60139,39559724.1865834
2021-01-22,ZRX,511650312.675228,36952789.6308374
2021-01-23,ZRX,568762561.895343,43616270.3469271
2021-01-24,ZRX,546220207.597906,51812599.3954635
2021-01-25,ZRX,522113015.065695,33851841.9385753
2021-01-26,ZRX,545308900.085065,36558777.2923538
2021-01-27,ZRX,583197055.652175,107730201.212897
2021-01-28,ZRX,612855596.456645,128866012.545389
2021-01-29,ZRX,599114555.948758,87425708.1232473
2021-01-30,ZRX,649107599.989296,57304815.2234016
2021-01-31,ZRX,695759805.434981,236028888.99097
2021-02-01,ZRX,686203955.664109,63174871.6377942
2021-02-02,ZRX,679138596.585981,38877870.3554685
2021-02-03,ZRX,756982546.692029,63289786.8821307
2021-02-04,ZRX,1040960340.77239,455097870.191266
2021-02-05,ZRX,1610181099.53486,1808580279.54242
2021-02-06,ZRX,1450793777.45214,633822675.386816
2021-02-07,ZRX,1421725791.20728,284416098.930479
2021-02-08,ZRX,1468066780.76076,410855385.769723
2021-02-09,ZRX,1525012412.4216,233669921.201197
2021-02-10,ZRX,1503587943.09064,253367249.812981
2021-02-11,ZRX,1743601155.58474,358083670.007221
2021-02-12,ZRX,1809632479.14379,438318268.462949
2021-02-13,ZRX,1876046579.30123,243698839.983049
2021-02-14,ZRX,1811956643.68565,266657747.499975
2021-02-15,ZRX,1623962357.78344,191681703.713586
2021-02-16,ZRX,1573496762.85407,130222295.626035
2021-02-17,ZRX,1560215762.13186,158627122.55472
